tag,take_car,take_transit,take_ondemand,take_walk,orig_loc,dest_loc,home_node,work_node,pop,seg_types
person25,0.0,1.0,1.0,1.0,"[-85.28326436, 35.00313915]","[-85.30854593, 35.04419174]",202636428.0,202621183.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person26,1.0,1.0,1.0,1.0,"[-85.29044676, 35.01102679]","[-85.30258923, 35.04987654]",202749611.0,202633669.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person27,1.0,1.0,1.0,1.0,"[-85.28830088, 34.99489935]","[-85.30675506, 35.04278446]",202612609.0,202633701.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person28,1.0,1.0,1.0,1.0,"[-85.28688199, 35.02419855]","[-85.30212868, 35.04514284]",202611002.0,202608342.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person29,1.0,1.0,1.0,1.0,"[-85.28685331, 34.99308072]","[-85.31169768, 35.04574506]",202654278.0,202605864.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person30,1.0,1.0,1.0,1.0,"[-85.29063425, 35.02072236]","[-85.30316838, 35.04636707]",202602600.0,202741059.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person31,1.0,1.0,1.0,1.0,"[-85.29153536, 35.00177238]","[-85.30918207, 35.04728336]",202647750.0,202596782.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person32,1.0,1.0,1.0,1.0,"[-85.28298748, 34.99953282]","[-85.31410221, 35.0484543]",202647773.0,450325864.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person33,0.0,1.0,1.0,1.0,"[-85.28298748, 34.99953282]","[-85.31410221, 35.0484543]",202647773.0,450325864.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person34,1.0,1.0,1.0,1.0,"[-85.29370084, 34.99936558]","[-85.30044538, 35.03957022]",1432383177.0,202646824.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person35,1.0,1.0,1.0,1.0,"[-85.288635, 35.0001839]","[-85.31318882, 35.04082634]",10837342861.0,202546566.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person36,1.0,1.0,1.0,1.0,"[-85.28350933, 35.0021453]","[-85.30598841, 35.04718515]",202639267.0,3966555692.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person37,0.0,1.0,1.0,1.0,"[-85.28350933, 35.0021453]","[-85.30598841, 35.04718515]",202639267.0,3966555692.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person38,1.0,1.0,1.0,1.0,"[-85.28753407, 35.00258949]","[-85.30727297, 35.04449819]",202642073.0,202638663.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person39,1.0,1.0,1.0,1.0,"[-85.29202689, 35.01450337]","[-85.31255676, 35.05019488]",202611052.0,202612463.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person40,1.0,1.0,1.0,1.0,"[-85.27803553, 35.00998991]","[-85.30229134, 35.04850969]",202605501.0,202633673.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person41,1.0,1.0,1.0,1.0,"[-85.28788933, 35.01897103]","[-85.30520069, 35.04575192]",445928790.0,202633685.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person42,1.0,1.0,1.0,1.0,"[-85.29164324, 35.01456738]","[-85.29590794, 35.04807885]",202611052.0,202594564.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person43,1.0,1.0,1.0,1.0,"[-85.29174436, 35.01188866]","[-85.30762831, 35.04869039]",202611073.0,202629693.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person44,1.0,1.0,1.0,1.0,"[-85.28775249, 34.9800347]","[-85.30676659, 35.04636532]",,,,
person45,1.0,1.0,1.0,1.0,"[-85.29155738, 34.98960527]","[-85.31849382, 35.04411895]",202680471.0,946673391.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person46,1.0,1.0,1.0,1.0,"[-85.29283221, 35.00926561]","[-85.31484474, 35.04440397]",202684132.0,450325749.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person47,1.0,1.0,1.0,1.0,"[-85.2809093, 35.01387921]","[-85.30488796, 35.04263366]",445923104.0,4740835231.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person48,1.0,1.0,1.0,1.0,"[-85.28975524, 35.01047907]","[-85.2996355, 35.04581294]",202734558.0,202662066.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person49,1.0,1.0,1.0,1.0,"[-85.28638366, 35.00422969]","[-85.31367029, 35.05433063]",202636417.0,6806765742.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person50,1.0,1.0,1.0,1.0,"[-85.28977171, 34.99174004]","[-85.30879746, 35.05202664]",202700825.0,574894958.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person51,1.0,1.0,1.0,1.0,"[-85.28669134, 34.99572553]","[-85.30844732, 35.04614637]",202663317.0,809312683.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person52,1.0,1.0,1.0,1.0,"[-85.28464027, 34.98979801]","[-85.30579578, 35.03746775]",202729809.0,202596723.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person53,1.0,1.0,1.0,1.0,"[-85.29187574, 34.99659435]","[-85.29923067, 35.03905169]",202663306.0,202646824.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person54,1.0,1.0,1.0,1.0,"[-85.29099268, 35.02062166]","[-85.31136789, 35.04843339]",202681735.0,202605855.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person55,1.0,1.0,1.0,1.0,"[-85.28747575, 35.00671623]","[-85.30084927, 35.04199114]",202593911.0,202610370.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person56,1.0,1.0,1.0,1.0,"[-85.28041452, 34.99520422]","[-85.30741163, 35.04676654]",202664003.0,202612548.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person57,0.0,1.0,1.0,1.0,"[-85.28041452, 34.99520422]","[-85.30741163, 35.04676654]",202664003.0,202612548.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person58,1.0,1.0,1.0,1.0,"[-85.2888893, 34.99269483]","[-85.30279234, 35.03896768]",202700823.0,202610380.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person59,1.0,1.0,1.0,1.0,"[-85.28047228, 35.00570001]","[-85.30886746, 35.05267694]",202684494.0,202735923.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person60,0.0,1.0,1.0,1.0,"[-85.28047228, 35.00570001]","[-85.30886746, 35.05267694]",202684494.0,202735923.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person61,1.0,1.0,1.0,1.0,"[-85.28323009, 35.00637407]","[-85.30491743, 35.04453728]",202593822.0,202695945.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person62,0.0,1.0,1.0,1.0,"[-85.28323009, 35.00637407]","[-85.30491743, 35.04453728]",202593822.0,202695945.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person63,1.0,1.0,1.0,1.0,"[-85.29085644, 35.0218405]","[-85.30612053, 35.04337026]",202631038.0,202633696.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person64,1.0,1.0,1.0,1.0,"[-85.28682673, 35.00781369]","[-85.30464527, 35.04151502]",202664237.0,202608393.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person65,1.0,1.0,1.0,1.0,"[-85.2873059, 35.00256577]","[-85.31429278, 35.04846384]",202642073.0,450325864.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person66,1.0,1.0,1.0,1.0,"[-85.28886024, 34.99056017]","[-85.31345807, 35.04218815]",202684519.0,946652337.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person67,1.0,1.0,1.0,1.0,"[-85.28972549, 35.00130235]","[-85.31180961, 35.04164694]",202647753.0,202605886.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person68,1.0,1.0,1.0,1.0,"[-85.28688771, 35.01588058]","[-85.30837341, 35.05258132]",202650759.0,202735923.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person69,1.0,1.0,1.0,1.0,"[-85.29840918, 35.01150018]","[-85.31319959, 35.04531195]",202627464.0,202587076.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person70,1.0,1.0,1.0,1.0,"[-85.28232089, 34.99360823]","[-85.31542391, 35.04428539]",202684300.0,1845486747.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person71,0.0,1.0,1.0,1.0,"[-85.28232089, 34.99360823]","[-85.31542391, 35.04428539]",202684300.0,1845486747.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person72,1.0,1.0,1.0,1.0,"[-85.2888349, 34.99246984]","[-85.30849358, 35.04229217]",202700823.0,202633714.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person73,1.0,1.0,1.0,1.0,"[-85.28582281, 35.00447503]","[-85.30795082, 35.03564646]",1432383363.0,10756698550.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person74,1.0,1.0,1.0,1.0,"[-85.28646439, 35.00108961]","[-85.30991376, 35.04863703]",202612599.0,202596779.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person75,1.0,1.0,1.0,1.0,"[-85.27939727, 35.00593022]","[-85.31716019, 35.0507095]",202684546.0,202694156.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person76,0.0,1.0,1.0,1.0,"[-85.27939727, 35.00593022]","[-85.31716019, 35.0507095]",202684546.0,202694156.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person77,1.0,1.0,1.0,1.0,"[-85.29132283, 35.03426584]","[-85.31012147, 35.05042663]",921262952.0,202609591.0,2.376237623762376,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person78,0.0,1.0,1.0,1.0,"[-85.29132283, 35.03426584]","[-85.31012147, 35.05042663]",921262952.0,202609591.0,2.376237623762376,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person79,1.0,1.0,1.0,1.0,"[-85.28473065, 34.99611131]","[-85.30420719, 35.04547481]",202605283.0,202741059.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person80,0.0,1.0,1.0,1.0,"[-85.28473065, 34.99611131]","[-85.30420719, 35.04547481]",202605283.0,202741059.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person81,1.0,1.0,1.0,1.0,"[-85.28437911, 35.0227184]","[-85.31208992, 35.04459183]",202660271.0,202628918.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person82,1.0,1.0,1.0,1.0,"[-85.28426085, 35.00006158]","[-85.31170958, 35.04692894]",202605473.0,202605859.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person83,0.0,1.0,1.0,1.0,"[-85.28426085, 35.00006158]","[-85.31170958, 35.04692894]",202605473.0,202605859.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person84,1.0,1.0,1.0,1.0,"[-85.27775588, 34.99943121]","[-85.30832861, 35.04218534]",202642023.0,202633714.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person85,0.0,1.0,1.0,1.0,"[-85.27775588, 34.99943121]","[-85.30832861, 35.04218534]",202642023.0,202633714.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person86,1.0,1.0,1.0,1.0,"[-85.27998657, 35.01632163]","[-85.29753473, 35.05001706]",202556669.0,577294245.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
