tag,orig_loc,dest_loc,take_car,take_transit,take_ondemand,take_walk,mass,leave_time_start,leave_time_end,arrival_time_start,arrival_time_end
person110,[-85.29414257  35.01171322],[-85.31942897  35.04521073],1.0,1.0,1.0,1.0,60,40792.0,42592.0,46136.0,47936.0
person111,[-85.28414276  34.98951464],[-85.30997351  35.04842384],1.0,1.0,1.0,1.0,60,48231.0,50031.0,53356.0,55156.0
person112,[-85.281277   35.0176073],[-85.30631943  35.04255649],1.0,1.0,1.0,1.0,60,83278.0,85078.0,87210.0,89010.0
person113,[-85.28818022  35.00463724],[-85.3147659   35.05368017],1.0,1.0,1.0,1.0,60,77671.0,79471.0,84392.0,86192.0
person114,[-85.28945803  35.01000719],[-85.31087435  35.0500282 ],1.0,1.0,1.0,1.0,60,60835.0,62635.0,65688.0,67488.0
person115,[-85.28773726  35.00932555],[-85.30988608  35.04654004],1.0,1.0,1.0,1.0,60,22662.0,24462.0,29344.0,31144.0
person116,[-85.29728637  35.01031242],[-85.30652923  35.04644397],1.0,1.0,1.0,1.0,60,70000.0,71800.0,74443.0,76243.0
person117,[-85.28138635  35.00421462],[-85.31037341  35.04676735],1.0,1.0,1.0,1.0,60,29482.0,31282.0,33817.0,35617.0
person118,[-85.28138635  35.00421462],[-85.31037341  35.04676735],0.0,1.0,1.0,1.0,60,63237.0,65037.0,68497.0,70297.0
person119,[-85.27785332  35.00362544],[-85.31435828  35.05027021],1.0,1.0,1.0,1.0,60,37934.0,39734.0,43158.0,44958.0
person120,[-85.27785332  35.00362544],[-85.31435828  35.05027021],0.0,1.0,1.0,1.0,60,83715.0,85515.0,87898.0,89698.0
person121,[-85.28781996  35.01464318],[-85.29970198  35.04764699],1.0,1.0,1.0,1.0,60,72962.0,74762.0,77620.0,79420.0
person122,[-85.29099182  34.99892621],[-85.31499364  35.03682343],1.0,1.0,1.0,1.0,60,72096.0,73896.0,76378.0,78178.0
person123,[-85.28503533  34.99516221],[-85.31215105  35.03790862],1.0,1.0,1.0,1.0,60,78133.0,79933.0,83030.0,84830.0
person124,[-85.28503533  34.99516221],[-85.31215105  35.03790862],0.0,1.0,1.0,1.0,60,29369.0,31169.0,34197.0,35997.0
person125,[-85.28635701  35.00969136],[-85.30828107  35.0558154 ],1.0,1.0,1.0,1.0,60,16628.0,18428.0,20767.0,22567.0
person126,[-85.29510185  34.98549046],[-85.30770455  35.04288912],1.0,1.0,1.0,1.0,60,45444.0,47244.0,50844.0,52644.0
person127,[-85.29353916  35.01058605],[-85.3141673   35.05540051],1.0,1.0,1.0,1.0,60,74849.0,76649.0,81118.0,82918.0
person128,[-85.28503497  34.99352877],[-85.30394201  35.04389035],1.0,1.0,1.0,1.0,60,32000.0,33800.0,39018.0,40818.0
person129,[-85.28886394  34.99717468],[-85.30911644  35.04533529],1.0,1.0,1.0,1.0,60,84301.0,86101.0,87989.0,89789.0
person130,[-85.28674148  35.00436716],[-85.31243366  35.04664538],1.0,1.0,1.0,1.0,60,20956.0,22756.0,27013.0,28813.0
person131,[-85.29451935  35.01915038],[-85.30464375  35.04788218],1.0,1.0,1.0,1.0,60,56368.0,58168.0,61067.0,62867.0
person132,[-85.2828111   35.01709852],[-85.31378928  35.04516035],1.0,1.0,1.0,1.0,60,81108.0,82908.0,87210.0,89010.0
person133,[-85.28534027  35.00077253],[-85.31300065  35.04474374],1.0,1.0,1.0,1.0,60,62407.0,64207.0,69602.0,71402.0
person134,[-85.28626978  34.98993172],[-85.30314373  35.03890585],1.0,1.0,1.0,1.0,60,45221.0,47021.0,49340.0,51140.0
person135,[-85.28579616  34.99434517],[-85.30130309  35.04907949],1.0,1.0,1.0,1.0,60,82030.0,83830.0,85809.0,87609.0
person136,[-85.29195528  35.00092996],[-85.3075874   35.05030903],1.0,1.0,1.0,1.0,60,47334.0,49134.0,51052.0,52852.0
person137,[-85.28826934  35.01624434],[-85.30967234  35.05138393],1.0,1.0,1.0,1.0,60,78899.0,80699.0,84758.0,86558.0
person138,[-85.28739071  34.99218428],[-85.31292573  35.04143585],1.0,1.0,1.0,1.0,60,77757.0,79557.0,84354.0,86154.0
person139,[-85.28500571  35.01491163],[-85.30828907  35.05013392],1.0,1.0,1.0,1.0,60,75651.0,77451.0,80627.0,82427.0
person140,[-85.28724046  35.00105677],[-85.3085211  35.0482056],1.0,1.0,1.0,1.0,60,83995.0,85795.0,87943.0,89743.0
person141,[-85.28363277  34.99719239],[-85.31123034  35.05337746],1.0,1.0,1.0,1.0,60,67238.0,69038.0,74394.0,76194.0
person142,[-85.28363277  34.99719239],[-85.31123034  35.05337746],0.0,1.0,1.0,1.0,60,70476.0,72276.0,75584.0,77384.0
person143,[-85.28181388  35.00653151],[-85.30437178  35.04778542],1.0,1.0,1.0,1.0,60,80785.0,82585.0,87916.0,89716.0
person144,[-85.28181388  35.00653151],[-85.30437178  35.04778542],0.0,1.0,1.0,1.0,60,74431.0,76231.0,79833.0,81633.0
person145,[-85.29026384  35.01740826],[-85.30850697  35.04690857],1.0,1.0,1.0,1.0,60,68113.0,69913.0,71744.0,73544.0
person146,[-85.28954148  35.00893481],[-85.31055076  35.04718937],1.0,1.0,1.0,1.0,60,77220.0,79020.0,82607.0,84407.0
person147,[-85.29475549  35.00147893],[-85.31062652  35.05002005],1.0,1.0,1.0,1.0,60,81801.0,83601.0,86462.0,88262.0
person148,[-85.29100738  34.99887212],[-85.30635949  35.03927281],1.0,1.0,1.0,1.0,60,84349.0,86149.0,88004.0,89804.0
person149,[-85.29323994  34.9941404 ],[-85.31288263  35.05317233],1.0,1.0,1.0,1.0,60,20025.0,21825.0,26131.0,27931.0
person150,[-85.288735    35.01659376],[-85.31402877  35.04588057],1.0,1.0,1.0,1.0,60,82996.0,84796.0,87545.0,89345.0
person151,[-85.28094707  35.00963791],[-85.31084538  35.04655022],1.0,1.0,1.0,1.0,60,62799.0,64599.0,68844.0,70644.0
person152,[-85.28094707  35.00963791],[-85.31084538  35.04655022],0.0,1.0,1.0,1.0,60,20654.0,22454.0,26795.0,28595.0
person153,[-85.28489962  34.99856553],[-85.31022947  35.04685752],1.0,1.0,1.0,1.0,60,74991.0,76791.0,80477.0,82277.0
person154,[-85.28489962  34.99856553],[-85.31022947  35.04685752],0.0,1.0,1.0,1.0,60,82263.0,84063.0,86900.0,88700.0
person155,[-85.28702831  34.98899841],[-85.30300966  35.04673552],1.0,1.0,1.0,1.0,60,65449.0,67249.0,72300.0,74100.0
person156,[-85.29115298  34.99526381],[-85.30873     35.04470009],1.0,1.0,1.0,1.0,60,84310.0,86110.0,87918.0,89718.0
person157,[-85.28453698  35.01147809],[-85.30231864  35.04709219],1.0,1.0,1.0,1.0,60,83214.0,85014.0,86897.0,88697.0
person158,[-85.29073041  35.01156296],[-85.30783687  35.04452021],1.0,1.0,1.0,1.0,60,69945.0,71745.0,74287.0,76087.0
person159,[-85.27491538  35.00626028],[-85.30771296  35.04490028],1.0,1.0,1.0,1.0,60,21401.0,23201.0,25467.0,27267.0
person160,[-85.27491538  35.00626028],[-85.30771296  35.04490028],0.0,1.0,1.0,1.0,60,79775.0,81575.0,86617.0,88417.0
person161,[-85.29232039  35.018611  ],[-85.31254655  35.04194634],1.0,1.0,1.0,1.0,60,83278.0,85078.0,87100.0,88900.0
person162,[-85.28248814  35.01526693],[-85.31680376  35.04246237],1.0,1.0,1.0,1.0,60,59288.0,61088.0,63876.0,65676.0
person163,[-85.28995733  35.01082486],[-85.31016942  35.03971314],1.0,1.0,1.0,1.0,60,69512.0,71312.0,75114.0,76914.0
person164,[-85.28915877  35.00431488],[-85.3079645  35.0419832],1.0,1.0,1.0,1.0,60,83617.0,85417.0,88120.0,89920.0
person165,[-85.28938701  35.01079707],[-85.30863871  35.04652712],1.0,1.0,1.0,1.0,60,63104.0,64904.0,66715.0,68515.0
person166,[-85.29035001  35.00031316],[-85.31371522  35.04053949],1.0,1.0,1.0,1.0,60,49320.0,51120.0,56176.0,57976.0
person167,[-85.28873811  35.01634763],[-85.3046425   35.04344252],1.0,1.0,1.0,1.0,60,68523.0,70323.0,72556.0,74356.0
person168,[-85.29210809  35.01146389],[-85.30348056  35.04470388],1.0,1.0,1.0,1.0,60,71744.0,73544.0,78642.0,80442.0
person169,[-85.28002177  35.01172502],[-85.30657887  35.04693249],1.0,1.0,1.0,1.0,60,84282.0,86082.0,88140.0,89940.0
person170,[-85.28987584  35.00300114],[-85.31220331  35.0415007 ],1.0,1.0,1.0,1.0,60,53007.0,54807.0,58920.0,60720.0
person171,[-85.2834094   35.00957072],[-85.30979075  35.04118441],1.0,1.0,1.0,1.0,60,82882.0,84682.0,86609.0,88409.0
person172,[-85.2834094   35.00957072],[-85.30979075  35.04118441],0.0,1.0,1.0,1.0,60,72067.0,73867.0,79035.0,80835.0
person173,[-85.28769381  35.01585995],[-85.31109375  35.04843933],1.0,1.0,1.0,1.0,60,63217.0,65017.0,69629.0,71429.0
person174,[-85.28667512  35.00079931],[-85.31019538  35.0421782 ],1.0,1.0,1.0,1.0,60,78420.0,80220.0,82331.0,84131.0
person175,[-85.29730215  35.01773857],[-85.31354622  35.05186824],1.0,1.0,1.0,1.0,60,53724.0,55524.0,60786.0,62586.0
person176,[-85.29095767  34.99306701],[-85.31281064  35.04801746],1.0,1.0,1.0,1.0,60,78596.0,80396.0,84825.0,86625.0
person177,[-85.29011054  35.00187013],[-85.30695564  35.04324208],1.0,1.0,1.0,1.0,60,65977.0,67777.0,70562.0,72362.0
person178,[-85.28481732  34.99226521],[-85.31180027  35.04606477],1.0,1.0,1.0,1.0,60,75862.0,77662.0,82864.0,84664.0
person179,[-85.28549191  35.01271709],[-85.30567966  35.04720924],1.0,1.0,1.0,1.0,60,73276.0,75076.0,77543.0,79343.0
person180,[-85.29588399  34.99736034],[-85.30551805  35.04164849],1.0,1.0,1.0,1.0,60,27997.0,29797.0,32240.0,34040.0
person181,[-85.28925763  35.00142565],[-85.30754414  35.0404754 ],1.0,1.0,1.0,1.0,60,81771.0,83571.0,86732.0,88532.0
person182,[-85.28818331  35.01340774],[-85.31157935  35.04027335],1.0,1.0,1.0,1.0,60,81364.0,83164.0,88042.0,89842.0
person183,[-85.29012486  34.99648262],[-85.31344843  35.04011073],1.0,1.0,1.0,1.0,60,79811.0,81611.0,85323.0,87123.0
person184,[-85.28903671  35.01209125],[-85.30900539  35.03708897],1.0,1.0,1.0,1.0,60,73656.0,75456.0,78718.0,80518.0
person185,[-85.28748661  35.00195767],[-85.30513314  35.04318034],1.0,1.0,1.0,1.0,60,70551.0,72351.0,75988.0,77788.0
person186,[-85.28623354  34.99305566],[-85.29951179  35.0428038 ],1.0,1.0,1.0,1.0,60,67083.0,68883.0,72672.0,74472.0
person187,[-85.28622464  35.00122211],[-85.31173124  35.04922079],1.0,1.0,1.0,1.0,60,80605.0,82405.0,84316.0,86116.0
person188,[-85.28454711  35.00350279],[-85.30876945  35.03873351],1.0,1.0,1.0,1.0,60,74343.0,76143.0,80560.0,82360.0
person189,[-85.28454711  35.00350279],[-85.30876945  35.03873351],0.0,1.0,1.0,1.0,60,84432.0,86232.0,88087.0,89887.0
person190,[-85.29050569  34.98530969],[-85.31920197  35.03707024],1.0,1.0,1.0,1.0,60,79232.0,81032.0,83193.0,84993.0
person191,[-85.28618905  35.0255188 ],[-85.30997866  35.05405368],1.0,1.0,1.0,1.0,60,78058.0,79858.0,83696.0,85496.0
person192,[-85.28803859  35.00890645],[-85.30938037  35.04817369],1.0,1.0,1.0,1.0,60,54662.0,56462.0,58309.0,60109.0
person193,[-85.29375614  35.00476876],[-85.30528324  35.04666231],1.0,1.0,1.0,1.0,60,20907.0,22707.0,27620.0,29420.0
person194,[-85.2859187   35.00653609],[-85.30725099  35.05098492],1.0,1.0,1.0,1.0,60,76396.0,78196.0,81067.0,82867.0
person195,[-85.2859187   35.00653609],[-85.30725099  35.05098492],0.0,1.0,1.0,1.0,60,84188.0,85988.0,88051.0,89851.0
person196,[-85.28117206  35.01397529],[-85.30923646  35.04352077],1.0,1.0,1.0,1.0,60,79445.0,81245.0,83327.0,85127.0
person197,[-85.29204172  34.97950004],[-85.30977766  35.04262085],1.0,1.0,1.0,1.0,60,33221.0,35021.0,40256.0,42056.0
person198,[-85.29164521  35.00782314],[-85.31947799  35.04863548],1.0,1.0,1.0,1.0,60,80403.0,82203.0,85131.0,86931.0
person199,[-85.2895777  35.0093577],[-85.3024652   35.04672621],1.0,1.0,1.0,1.0,60,82094.0,83894.0,87246.0,89046.0
